iter	Passed	Remaining
0	140	13876
1	144	7101
2	149	4838
3	155	3729
4	160	3042
5	165	2586
6	171	2277
7	175	2023
8	181	1838
9	186	1677
10	190	1542
11	195	1431
12	200	1339
13	204	1255
14	208	1181
15	212	1114
16	217	1059
17	221	1007
18	224	958
19	229	916
20	233	878
21	237	842
22	242	810
23	246	779
24	250	752
25	254	725
26	259	702
27	264	679
28	268	657
29	272	635
30	277	617
31	281	598
32	286	580
33	290	563
34	295	549
35	300	534
36	305	519
37	312	509
38	319	500
39	324	486
40	329	474
41	334	461
42	338	448
43	343	437
44	347	425
45	353	414
46	358	404
47	363	393
48	368	383
49	374	374
50	378	363
51	383	354
52	389	345
53	393	335
54	398	325
55	402	316
56	407	307
57	412	298
58	418	290
59	422	281
60	428	273
61	432	265
62	437	256
63	443	249
64	449	241
65	455	234
66	460	226
67	467	219
68	471	211
69	475	203
70	480	196
71	487	189
72	492	181
73	496	174
74	502	167
75	506	159
76	510	152
77	516	145
78	521	138
79	525	131
80	530	124
81	534	117
82	539	110
83	543	103
84	548	96
85	553	90
86	557	83
87	562	76
88	567	70
89	571	63
90	577	57
91	581	50
92	587	44
93	592	37
94	596	31
95	601	25
96	607	18
97	611	12
98	615	6
99	620	0
